b1,b2,common_count
7056,8335,158
8031,8335,112
7346,8335,109
8226,14484,122
8031,12099,108
8030,13181,111
10304,13181,129
8031,13181,127
3003,11142,168
8216,11142,117
7056,11471,119
8031,12036,122
3003,8216,114
7962,8030,182
815,8030,148
7966,8030,122
7962,10304,101
8030,10304,137
815,10304,115
8031,10304,152
7966,10304,114
8047,10304,120
808,815,124
10304,17309,122
13468,17309,103
7056,7346,118
12616,17676,108
8031,12626,122
8031,12696,104
7962,8048,103
8030,8048,117
8031,8048,147
10304,13986,152
13468,13986,119
11204,13986,109
8031,13986,190
7966,13986,112
12036,13986,123
13181,13986,109
815,8284,134
8031,8284,119
8031,8119,140
815,8047,129
808,8047,122
8030,11204,117
10304,11204,109
8031,11204,173
10304,17974,139
8031,17974,122
7966,17974,115
13181,17974,110
13986,17974,111
7962,13468,104
8030,13468,143
10304,13468,170
815,13468,115
8008,13468,107
8031,13468,161
8047,13468,126
13181,13468,120
815,7056,105
6898,7056,121
7056,12930,105
14285,19010,102
17974,21245,104
7962,8031,132
8030,8031,181
815,8031,152
8008,8031,113
4923,8031,108
7056,8031,121
7966,8031,146
815,7962,127
7056,7962,109
