bid,name,city,state,lat,long,star,reviews,num,cat
0GaDryqh_sf7cwl1TPMMIw,Scottsdale Martial Arts Center\,Scottsdale,AZ,33.63947,-111.884437,5,5,3704,Active Life
CZBYYCb4xBwNlSIYNc6Eiw,Siphon Draw Trail inc. Flatiron\,Apache Junction,AZ,33.4614015,-111.4857304,5,25,14396,Active Life
rcyO0WSXanfEnWBBh4CCNA,Rainbow Ryders\,Phoenix,AZ,33.6907835,-112.0957557,4.5,19,14448,Active Life
Kt0DIPfjR5WPVpEqyIGdBQ,La Camarilla Racquet\,Scottsdale,AZ,33.584409,-111.965188,2.5,11,3391,Active Life
RVKoyywS3AraAsIDILZjGw,Beginners Edge Sports Training\,Scottsdale,AZ,33.58388343,-111.9292845,4,4,15145,Active Life
M3cJ47HMJaObeI5WtIw71Q,Stand-up\,Scottsdale,AZ,33.4955785,-111.9331869,4.5,263,16874,Arts & Entertainment
qFPJ_bHbS13PoEEKNexnBQ,Good Faith Casting\,Phoenix,AZ,33.5062078,-112.0739142,5,3,14547,Arts & Entertainment
5fWOxo5CxpHoaCJD97QE4g,Discount Tire Store - Phoenix\,Phoenix,AZ,33.4809328,-112.010557,4.5,36,884,Automotive
F7QU8xym1oYgYRjT97R1wg,Kelly Clark Automotive Specialists North\,Phoenix,AZ,33.640119,-111.992554,4,13,1432,Automotive
9mNTkR5w-47cG7gGIprT4A,Discount Tire Store - Phoenix\,Phoenix,AZ,33.6405109,-112.092834,4,19,5375,Automotive
yuTa7S2QR9uAE7UNdDV8EQ,Wheel Specialists\,Tempe,AZ,33.4231274,-111.9046128,4.5,18,7309,Automotive
TWPxiTUzTDZzFC9W8y37ww,Discount Tire Store - Phoenix\,Phoenix,AZ,33.639568,-112.0800886,4.5,20,8769,Automotive
Setor6vWoeVq0-ejdlq1aw,Yota Pros\,Tempe,AZ,33.354241,-111.963668,4.5,15,21662,Automotive
c7sdgI3QwAx9ugDKV476yw,JBA Motors\,Scottsdale,AZ,33.62534,-111.917723,5,3,22216,Automotive
waoDX2nmKFwXel-ktK8geA,At Your Curb\,Peoria,AZ,33.6513368,-112.2443628,5,10,23471,Automotive
NmqJh3q__O5C4n-2wyLa-g,Schumacher European\,Phoenix,AZ,33.6524088,-111.926625,4,45,3711,Automotive
zHMXjCQrf7t5pms_2XElBg,Auto Xtreme Service\,Peoria,AZ,33.6436561,-112.2550064,4,9,4820,Automotive
Fq1eO1tyDtQZl9rattGn3Q,Discount Tire Store - Peoria\,Peoria,AZ,33.581265,-112.206113,5,14,7811,Automotive
2lHeLYZy6jZHpJp4W2ef6w,European Speed & Service\,Phoenix,AZ,33.6906134,-112.0957017,4.5,14,9494,Automotive
eLMrPmp0YbTfQHyob5Jr9g,Toyoworks - Toyota\,Phoenix,AZ,33.5713191,-112.0733505,5,26,9726,Automotive
_CblT1wpw8bbZISdOy9lkQ,Discount Tire Store - Glendale\,Glendale,AZ,33.539658,-112.152017,4.5,9,10575,Automotive
pxbqrt1ulQogGUqw9WG8mA,Arizona Golf Cart Repair\,Mesa,AZ,33.450575,-111.723172,3.5,3,14778,Automotive
Yb6Sy5Vc5YO07lrkhcwnpg,Fletcher's Tire & Auto Service\,Phoenix,AZ,33.5976527,-111.9779361,3.5,15,17623,Automotive
VckwlKiscxmTXCF3vouzgg,Shane's Tint & Clear Bra\,Peoria,AZ,33.63421993,-112.244997,5,9,20246,Automotive
H8DvkkOFoAVGNK9ka_49kA,Discount Tires Laveen\,Laveen,AZ,33.37749587,-112.1705071,5,8,22685,Automotive
huanDAGVLTnWLyDAeMW2kg,Motor City Auto Detailing\,Chandler,AZ,33.30232417,-111.8413993,5,16,23239,Automotive
_FSxdtCqE2t0F591_AEShg,Auto Glass Perfection\,Phoenix,AZ,33.5949217,-111.979347,5,6,23959,Automotive
WFDxa8r0sT2ZnehYTyT1LQ,The Boulders\,Carefree,AZ,33.8040457,-111.927357,4,102,8219,Beauty & Spas
